Point	x	y	z
713	1.405263	1.473736	0.565863
714	1.287409	1.086825	1.212703
715	1.151194	1.849727	0.168377
716	1.125591	1.42651	0.485698
717	1.399148	1.450193	0.482321
718	1.429314	1.462555	0.483596
719	1.337907	1.097739	0.469347
720	1.416682	1.042272	0.463382
721	1.382019	1.41064	0.457983
722	1.311931	1.210669	0.502726
723	1.308076	1.192696	0.520766
724	1.215626	1.509943	0.353651
725	1.200697	1.549606	0.265413
726	1.113705	1.800526	0.116483
727	1.084503	1.793848	0.124361
728	1.211174	1.467676	0.450691
729	1.16572	1.663789	0.077753
730	1.144139	1.705228	0.087307
731	1.147127	1.806288	0.12437
732	1.281301	1.008846	0.445624
733	1.12296	1.85217	0.151028
734	1.337119	1.245365	0.47851
735	1.415875	1.132103	0.46737
736	1.403478	1.137489	0.46841
737	1.443009	1.287855	0.480829
738	1.370503	1.489419	0.48952
739	1.185174	1.519961	0.297356
740	1.137395	1.401496	0.469841
741	1.238928	1.158816	0.513438
742	1.379553	1.03757	0.451896
743	1.207108	1.15399	0.483471
744	1.244376	1.127002	0.505655
745	1.242524	1.116883	0.490447
746	1.246195	1.217248	0.494473
747	1.328059	1.158066	0.506182
748	1.193121	1.057548	0.4576
749	1.341089	1.059025	0.453249
750	1.211043	1.47027	0.475411
751	1.365753	1.15764	0.479457
752	1.354554	1.127088	0.480419
753	1.205977	1.455235	0.459546
754	1.414893	1.291361	0.469458
755	1.209694	1.115647	0.477301
756	1.16836	1.160566	0.470593
757	1.221283	1.235877	0.475378
758	1.19143	1.242777	0.466276
759	1.223254	1.345393	0.470652
760	1.125796	1.251997	0.473954
761	1.241712	1.085708	0.467208
762	1.190024	1.101275	0.46827
763	1.108638	1.723198	0.094398
764	1.165251	1.028903	0.461433
765	1.167547	1.441133	0.457385
766	1.195924	1.458458	0.439297
767	1.410046	1.387066	0.457341
768	1.392818	1.309243	0.465973
769	1.365221	1.331155	0.467918
770	1.150924	1.240006	0.465594
771	1.192471	1.414214	0.459789
772	1.191622	1.47127	0.417224
773	1.461663	1.58527	0.307486
774	1.461713	1.543386	0.368892
775	1.461242	1.577237	0.365297
776	1.442205	1.640496	0.093135
777	1.401634	1.751448	0.175261
778	1.405647	1.607364	0.160538
779	1.416964	1.620896	0.349782
780	1.414521	1.663663	0.242085
781	1.439288	1.658689	0.237397
782	1.436383	1.602322	0.193904
783	1.387166	1.706728	0.157329
784	1.4688	1.717444	0.161584
785	1.336639	1.514957	0.465073
786	1.48967	1.749547	0.142461
787	1.390673	1.61965	0.164526
788	1.383064	1.647583	0.165885
789	1.379479	1.644527	0.113548
790	1.422453	1.621252	0.094498
791	1.394815	1.616841	0.118067
792	1.446478	1.679038	0.195779
793	1.443356	1.710491	0.184814
794	1.394808	1.708685	0.180214
795	1.397174	1.543288	0.268413
796	1.400762	1.459802	0.457989
797	1.453633	1.633871	0.245035
798	1.453532	1.57056	0.28069
799	1.454332	1.658392	0.175112
800	1.423292	1.697231	0.19728
801	1.413759	1.718327	0.18691
802	1.377757	1.620498	0.30993
803	1.37587	1.564734	0.489418
804	1.346995	1.557219	0.361013
805	1.348058	1.56623	0.378152
806	1.346362	1.546751	0.477934
807	1.443311	1.610461	0.348255
808	1.40629	1.566819	0.489729
809	1.451482	1.518692	0.478033
810	1.440015	1.546869	0.486312
811	1.376192	1.598336	0.223331
812	1.397189	1.678841	0.208216
813	1.43844	1.62071	0.155949
814	1.417764	1.607097	0.152258
815	1.445638	1.629875	0.121821
816	1.41201	1.468693	0.433339
