Area	m2	bui
428	3.14E-04	L.Fore_arm
429	5.35E-04	L.foreleg
430	1.52E-03	L.Back_thigh
431	1.74E-04	L.Hand
432	1.83E-03	R.Side_back
433	1.23E-04	L.Hand
434	2.63E-04	LeftArmsJoint
435	3.09E-04	LeftArmsJoint
436	1.57E-03	R.Back_thigh
437	5.34E-04	L.foreleg
438	2.41E-04	L.Fore_arm
439	1.30E-03	R.Upper_arm
440	2.31E-03	L.Back_thigh
441	7.55E-05	R.Hand
442	3.12E-04	LeftLegsJoint
443	1.85E-03	R.Back_thigh
444	2.40E-04	R.Hand
445	1.27E-03	R.Back_thigh
446	5.95E-04	L.foreleg
447	1.79E-04	RightArmsJoint
448	1.30E-03	L.Back_thigh
449	2.81E-04	LeftLegsJoint
450	1.47E-03	R.Side_back
451	4.80E-04	R.Hand
452	3.39E-04	R.Hand
453	9.78E-04	L.Upper_arm
454	1.47E-03	L.Side_back
455	1.73E-03	Back_side
456	1.37E-03	R.Upper_arm
457	3.88E-04	R.Upper_arm
458	1.42E-03	L.Side_chest
459	1.67E-04	LeftArmsJoint
460	6.36E-04	L.foreleg
461	4.68E-03	L.front_thigh
462	2.81E-04	LeftArmsJoint
463	8.72E-04	L.Side_chest
464	1.97E-03	R.Side_back
465	3.26E-04	L.foreleg
466	8.06E-04	L.Upper_arm
467	1.43E-03	L.Side_chest
468	1.45E-03	R.Side_chest
469	6.41E-04	Crown
470	3.48E-04	L.Hand
471	5.46E-04	L.front_thigh
472	5.03E-04	LeftLegsJoint
473	1.27E-03	L.Side_chest
474	3.66E-04	R.Back_thigh
475	7.11E-04	Crown
476	1.54E-03	R.Back_thigh
477	2.00E-03	L.Side_chest
478	5.90E-04	L.Upper_arm
479	1.60E-03	R.Upper_arm
480	1.88E-04	RightArmsJoint
481	2.55E-03	Pelvis
482	4.12E-03	L.front_thigh
483	5.51E-04	L.Upper_arm
484	1.95E-04	LeftArmsJoint
485	1.18E-03	R.Side_back
486	4.57E-04	R.Upper_arm
487	5.34E-04	RightLegsJoint
488	3.94E-04	R.Upper_arm
489	9.50E-04	L.Side_back
490	4.96E-04	L.foreleg
491	2.81E-04	LeftLegsJoint
492	1.15E-03	R.Back_thigh
493	5.54E-04	L.foreleg
494	2.45E-03	L.Side_back
495	1.05E-03	Crown
496	5.77E-04	L.Hand
497	2.87E-04	R.Hand
498	2.39E-03	L.Side_back
499	1.15E-03	Pelvis
500	2.28E-04	Pelvis
501	1.16E-03	L.Side_back
502	3.10E-04	R.Upper_arm
503	3.46E-03	R.Side_back
504	3.89E-03	L.foreleg
505	4.21E-04	RightLegsJoint
506	7.11E-04	L.Hand
507	4.36E-04	RightLegsJoint
508	1.69E-03	R.Back_thigh
509	2.08E-03	R.front_thigh
510	1.55E-03	R.Side_back
511	1.17E-03	L.Back_thigh
512	5.61E-04	R.Upper_arm
513	9.53E-04	Crown
514	7.26E-04	L.Side_back
515	2.82E-04	Pelvis
516	5.47E-04	L.Side_back
517	3.49E-04	RightArmsJoint
518	2.45E-04	RightArmsJoint
519	7.40E-04	L.Hand
520	1.16E-03	R.Side_chest
521	5.35E-03	L.Side_back
522	3.03E-04	Crown
523	3.03E-03	L.foreleg
524	4.94E-04	L.foreleg
525	1.42E-04	L.Fore_arm
526	3.78E-04	L.Fore_arm
527	9.42E-05	L.Fore_arm
528	1.70E-03	L.foreleg
529	1.33E-03	R.Hand
530	1.31E-04	RightArmsJoint
531	2.67E-03	Pelvis
532	7.76E-04	RightLegsJoint
533	2.65E-03	L.Side_back
534	9.71E-05	L.Fore_arm
535	2.51E-04	LeftLegsJoint
536	4.02E-04	LeftLegsJoint
537	2.93E-04	R.Upper_arm
538	2.11E-03	R.Side_chest
539	5.13E-04	Back_side
540	1.76E-04	R.Hand
541	1.52E-04	L.Upper_arm
542	2.70E-04	RightArmsJoint
543	1.10E-03	L.front_thigh
544	1.74E-04	RightArmsJoint
545	3.09E-04	L.Fore_arm
546	2.54E-04	L.Fore_arm
547	3.77E-04	LeftLegsJoint
548	6.09E-04	Crown
549	3.33E-04	R.Hand
550	9.80E-05	L.Fore_arm
551	1.02E-03	L.foreleg
552	6.50E-04	L.Hand
553	2.57E-03	R.Fore_arm
554	1.79E-03	R.Fore_arm
555	1.75E-03	R.Upper_arm
556	5.56E-04	L.foreleg
557	2.12E-04	LeftLegsJoint
558	1.23E-03	Back_side
559	2.72E-04	LeftLegsJoint
560	2.68E-03	L.Side_back
561	2.72E-04	L.Hand
562	7.45E-04	L.front_thigh
563	4.36E-04	R.front_thigh
564	3.56E-04	L.Upper_arm
565	7.99E-04	Pelvis
566	5.35E-04	L.Hand
567	3.65E-04	L.Hand
568	4.82E-04	L.Upper_arm
569	5.49E-05	R.Hand
570	4.49E-04	LeftLegsJoint
571	4.14E-04	L.foreleg
572	5.23E-04	L.Back_thigh
573	6.88E-04	L.foreleg
574	7.16E-04	L.foreleg
575	7.09E-04	L.Upper_arm
576	1.21E-03	R.front_thigh
577	3.48E-04	Crown
578	3.06E-04	L.Upper_arm
579	3.69E-04	LeftArmsJoint
580	2.19E-04	RightArmsJoint
581	1.35E-04	L.Back_thigh
582	1.68E-03	Pelvis
583	1.83E-03	R.Side_back
584	1.73E-03	R.Upper_arm
585	3.94E-04	L.Upper_arm
586	4.32E-04	Crown
587	8.92E-04	Crown
588	3.13E-04	RightArmsJoint
589	2.84E-04	RightArmsJoint
590	4.54E-04	LeftLegsJoint
591	4.16E-04	L.foot
592	7.38E-04	Pelvis
593	7.81E-05	L.Fore_arm
594	1.87E-03	R.Side_back
595	9.94E-04	L.Side_back
596	2.08E-03	L.Upper_arm
597	7.18E-04	R.front_thigh
598	1.41E-03	Pelvis
599	2.62E-04	R.front_thigh
600	2.03E-04	R.Hand
601	2.07E-04	RightArmsJoint
602	1.55E-04	RightArmsJoint
603	5.16E-04	R.Upper_arm
604	8.69E-04	L.Back_thigh
605	4.87E-04	R.Side_back
606	3.50E-04	L.Hand
607	2.22E-04	RightArmsJoint
608	3.67E-04	R.Hand
609	2.09E-03	L.Side_chest
610	1.25E-03	L.Side_chest
611	1.02E-03	Crown
612	1.57E-03	L.foot
613	1.49E-04	L.Back_thigh
614	6.30E-04	R.front_thigh
615	5.91E-04	LeftLegsJoint
616	5.07E-04	LeftLegsJoint
617	1.98E-03	L.Upper_arm
618	2.58E-03	L.Side_chest
619	2.28E-03	Back_side
620	3.41E-03	L.Side_chest
621	3.05E-03	Head
622	4.59E-03	L.Side_chest
623	1.71E-03	L.foreleg
624	1.17E-04	L.Hand
625	4.81E-04	R.front_thigh
626	1.55E-03	L.Fore_arm
627	2.59E-03	R.Side_chest
628	2.72E-03	R.Upper_arm
629	5.80E-04	R.Side_back
630	3.41E-04	L.Fore_arm
631	2.73E-03	Head
632	2.49E-03	R.Upper_arm
633	1.99E-03	L.foreleg
634	2.27E-04	RightLegsJoint
635	5.38E-04	RightLegsJoint
636	2.13E-03	L.foreleg
637	4.26E-03	R.front_thigh
638	1.85E-03	L.Side_back
639	5.07E-04	LeftLegsJoint
640	1.30E-03	R.Side_back
641	2.55E-04	LeftLegsJoint
642	1.95E-04	R.Hand
643	1.06E-03	L.foreleg
644	3.51E-03	R.Side_chest
645	1.66E-03	R.Side_chest
646	6.68E-04	R.front_thigh
647	5.78E-04	L.Upper_arm
648	1.58E-04	Crown
649	5.55E-03	L.Side_chest
650	3.89E-04	RightLegsJoint
651	2.01E-04	L.Fore_arm
652	6.78E-04	L.Upper_arm
653	1.12E-04	RightArmsJoint
654	1.17E-03	Crown
655	2.27E-04	L.Upper_arm
656	5.23E-04	L.foreleg
657	9.95E-04	R.front_thigh
658	1.19E-03	Back_side
659	7.61E-04	L.Back_thigh
660	2.58E-04	RightArmsJoint
661	3.96E-04	R.Hand
662	3.05E-04	L.Upper_arm
663	1.01E-03	R.Back_thigh
664	6.46E-04	L.Upper_arm
665	2.85E-03	L.Side_back
666	1.64E-03	L.Fore_arm
667	5.33E-04	Back_side
668	8.23E-04	L.Side_chest
669	6.01E-04	R.front_thigh
670	1.16E-03	Crown
671	4.29E-04	LeftArmsJoint
672	1.32E-04	LeftArmsJoint
673	1.01E-04	L.Fore_arm
674	1.57E-03	R.Side_back
675	3.25E-03	R.front_thigh
676	5.50E-04	L.front_thigh
677	5.96E-04	R.Upper_arm
678	4.10E-04	Crown
679	5.46E-04	Back_side
680	7.42E-04	R.Side_chest
681	1.02E-03	L.Side_chest
682	9.57E-04	R.Back_thigh
683	2.81E-03	L.Side_chest
684	2.11E-03	R.front_thigh
685	9.21E-04	R.front_thigh
686	1.73E-03	Crown
687	3.60E-04	L.Upper_arm
688	4.32E-04	L.Upper_arm
689	2.09E-03	L.foreleg
690	5.94E-04	R.Hand
691	2.71E-03	L.Side_chest
692	2.78E-04	L.Upper_arm
693	5.43E-04	R.Side_back
694	4.52E-04	Crown
695	2.27E-04	LeftArmsJoint
696	4.19E-04	LeftArmsJoint
697	4.99E-04	L.Side_back
698	6.91E-04	L.Side_chest
699	2.68E-03	L.Back_thigh
700	2.43E-03	Back_side
701	2.03E-03	R.Fore_arm
702	2.59E-03	Back_side
703	2.09E-03	R.Back_thigh
704	1.04E-03	L.Hand
705	4.09E-04	R.Hand
706	3.07E-03	L.Side_chest
707	9.31E-05	LeftArmsJoint
708	2.75E-03	L.Back_thigh
709	2.60E-04	R.Hand
710	5.61E-05	LeftLegsJoint
711	1.39E-03	L.foreleg
712	1.12E-03	Head
713	3.06E-04	RightArmsJoint
714	2.49E-03	R.Side_chest
715	1.04E-03	Crown
716	1.15E-03	R.Hand
717	1.24E-03	R.Upper_arm
718	1.70E-03	R.Upper_arm
719	4.77E-04	LeftLegsJoint
720	1.03E-03	Crown
721	2.41E-04	RightArmsJoint
722	2.02E-03	R.Side_chest
723	3.07E-05	L.Fore_arm
724	1.55E-03	L.Side_back
725	1.64E-03	R.Side_chest
726	1.21E-03	Pelvis
727	1.90E-03	Pelvis
728	3.75E-04	R.Upper_arm
729	3.46E-04	L.Upper_arm
730	4.02E-04	LeftLegsJoint
731	5.91E-04	Head
732	8.44E-04	L.foreleg
733	7.62E-04	Crown
734	1.63E-04	R.front_thigh
735	4.92E-04	R.Side_chest
736	4.10E-04	Crown
737	1.86E-04	L.Hand
738	2.07E-04	LeftArmsJoint
739	2.88E-03	R.Upper_arm
740	1.52E-04	L.Hand
741	8.81E-05	LeftLegsJoint
742	8.20E-04	L.Side_chest
743	5.27E-04	L.foreleg
744	3.48E-04	Back_side
745	2.84E-04	RightArmsJoint
746	1.90E-03	R.Side_back
747	9.51E-05	L.Fore_arm
748	1.45E-03	L.Side_back
749	5.16E-04	R.Upper_arm
750	1.18E-03	L.foreleg
751	8.04E-04	L.Side_back
752	2.27E-04	RightArmsJoint
753	8.73E-04	L.foreleg
754	3.63E-04	RightArmsJoint
755	6.19E-04	L.Hand
756	5.50E-04	R.front_thigh
757	2.14E-03	Back_side
758	1.08E-03	R.Hand
759	1.85E-04	R.Hand
760	5.95E-04	R.Side_chest
761	3.77E-04	R.Upper_arm
762	2.74E-03	L.front_thigh
763	4.03E-05	L.Fore_arm
764	7.51E-04	R.front_thigh
765	2.79E-04	L.front_thigh
766	1.31E-03	L.foreleg
767	9.50E-04	R.front_thigh
768	7.78E-04	Pelvis
769	4.79E-04	Crown
770	1.67E-03	R.Fore_arm
771	2.65E-04	RightArmsJoint
772	9.18E-04	L.front_thigh
773	6.08E-04	L.front_thigh
774	1.02E-03	R.Hand
775	8.84E-04	L.Upper_arm
776	3.11E-04	RightLegsJoint
777	1.40E-03	Pelvis
778	1.11E-03	Back_side
779	2.40E-04	Crown
780	2.76E-03	L.Side_chest
781	2.47E-03	R.front_thigh
782	5.67E-04	L.Side_chest
783	4.33E-04	L.Hand
784	1.65E-03	Pelvis
785	6.95E-04	R.Hand
786	1.34E-03	Crown
787	1.42E-04	Pelvis
788	1.26E-03	L.foreleg
789	9.01E-04	L.Side_chest
790	3.92E-04	LeftLegsJoint
791	5.67E-04	L.Side_back
792	7.72E-05	L.Back_thigh
793	6.48E-04	R.Upper_arm
794	1.39E-04	LeftLegsJoint
795	3.96E-04	R.Upper_arm
796	1.33E-04	L.front_thigh
797	1.62E-03	L.foreleg
798	1.47E-03	R.Upper_arm
799	2.68E-03	R.front_thigh
800	3.52E-04	LeftLegsJoint
801	1.08E-03	R.Hand
802	1.67E-03	R.Fore_arm
803	6.39E-04	L.Side_back
804	2.56E-03	L.front_thigh
805	5.13E-04	LeftLegsJoint
806	1.92E-04	L.Back_thigh
807	8.19E-04	L.Side_back
808	2.28E-03	L.foreleg
809	4.48E-04	R.Back_thigh
810	2.60E-04	RightArmsJoint
811	1.04E-03	Back_side
812	1.81E-03	L.foreleg
813	3.15E-04	RightLegsJoint
814	7.16E-04	R.Hand
815	4.10E-04	RightLegsJoint
816	5.18E-04	L.foot
817	6.11E-04	L.foot
818	6.78E-04	Pelvis
819	1.42E-03	L.Fore_arm
820	2.00E-03	L.Side_back
821	1.11E-03	L.foreleg
822	7.33E-05	R.Hand
823	8.76E-04	L.front_thigh
824	3.07E-03	R.Upper_arm
825	9.74E-04	R.front_thigh
826	9.25E-05	L.Fore_arm
827	1.17E-03	R.Upper_arm
828	1.56E-04	L.Hand
829	2.71E-04	Back_side
830	2.08E-04	RightLegsJoint
831	2.19E-03	L.Fore_arm
832	4.45E-04	L.Upper_arm
833	1.81E-03	L.Upper_arm
834	2.32E-04	L.Hand
835	3.81E-04	Crown
836	9.18E-04	Crown
837	7.33E-04	L.Back_thigh
838	3.49E-04	L.Back_thigh
839	7.15E-04	L.foreleg
840	1.00E-03	Back_side
841	5.16E-04	L.foreleg
842	3.94E-03	L.Side_chest
843	1.07E-03	R.Fore_arm
844	1.57E-04	L.Hand
845	1.07E-03	Pelvis
846	1.27E-03	Back_side
847	8.12E-04	L.front_thigh
848	2.00E-03	R.front_thigh
849	1.14E-03	R.Back_thigh
850	3.17E-04	Pelvis
851	4.29E-03	L.Side_back
